YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1925,3.4,4.9,2.3,9.4,16.1,15.6,19.8,17.8,11.6,8.7,2.8,-0.1,3.4,9.3,17.7,7.7,9.52
1926,0,3.6,4.2,11.1,12.6,15.4,19.4,16.8,14.7,7.8,6.9,2,1.2,9.3,17.2,9.8,9.37
1927,2.5,0.9,7.2,7.3,11,14.3,19.2,17.6,14.2,9.3,2.4,-2.8,1.8,8.5,17,8.6,8.99
1928,1.5,2.6,3.3,8.3,11.2,14.5,18.8,16.3,13,9.2,7.4,-0.1,0.4,7.6,16.5,9.9,8.61
1929,-4.2,-10.2,2.8,5,14.7,15.2,18.7,18.2,15.8,10.3,5.5,3.8,-4.8,7.5,17.4,10.5,7.64
1930,2.4,0.6,4.3,9.6,13.4,19.8,17.6,16.5,13.6,8.3,6.1,0.8,2.3,9.1,18,9.3,9.67
1931,0.4,-0.6,0.4,6.2,17,16.6,18.7,16.8,11.5,7.9,4.6,1.4,0.2,7.9,17.4,8,8.36
1932,1.9,-0.9,1.4,8.5,14.5,15.6,20.1,20,15.3,9.6,4.7,1.2,0.8,8.1,18.6,9.9,9.34
1933,-2.8,0.3,6,7.6,13.4,16,19.4,17.7,14.2,9.1,3.1,-3.1,-0.4,9,17.7,8.8,8.77
1934,1.4,2.9,5.8,11.7,14.6,18.4,19.8,17.6,16.5,10.2,5.3,4.6,0.4,10.7,18.6,10.7,10.09
1935,-0.3,2.8,3.2,8.6,11.6,19,19,17.6,14.5,9.2,5.8,1,2.4,7.8,18.5,9.8,9.63
1936,3.5,0.2,5.5,7.8,14.3,18.4,18.6,17.5,13.8,7,4.3,2.1,1.6,9.2,18.2,8.4,9.33
1937,-2.8,2.4,3.6,9,17,18.2,18.4,18.3,14.6,10.7,3.8,-0.4,0.6,9.9,18.3,9.7,9.61
1938,2,2.1,8.2,6.4,12.3,17,19,19.8,14.4,9.9,8.2,-1.3,1.2,9,18.6,10.8,9.91
1939,3.2,3.2,2.4,9.7,12,17.8,18.8,19.3,14.5,7,5.5,-1.1,1.7,8,18.6,9,9.34
1940,-9.4,-6.9,2.3,9,13.4,19.2,18,15.6,12.4,8.5,6.2,-1.8,-5.8,8.2,17.6,9,7.27
1941,-6.1,0.2,3.5,6.3,10.9,17.9,20.4,16,12.8,8.6,1.8,2.2,-2.6,6.9,18.1,7.7,7.54
1942,-7,-4.6,0.3,8.3,13.5,15.4,17.4,19.2,15.7,11,4.1,3,-3.1,7.4,17.3,10.3,7.96
1943,-0.5,3.8,6.6,10.3,14.2,15.9,19.2,19.4,14.5,10.4,2.9,0.5,2.1,10.4,18.2,9.3,9.98
1944,4.1,0.6,2,9.2,12.8,15.9,19.5,21.7,14.3,9.5,5,-0.7,1.7,8,19,9.6,9.59
1945,-2.8,4.3,6.9,9,14.4,17.3,18.6,17.3,14.3,10.1,3.9,1.6,0.3,10.1,17.7,9.4,9.38
1946,-0.6,2.4,4,11.4,16,16.7,20.9,17.3,15.1,7.1,4,-2,1.1,10.5,18.3,8.7,9.66
1947,-5.1,-7.8,2.1,10.1,16.7,19.8,20,19.2,18.2,7.9,5.4,2,-5,9.6,19.7,10.5,8.71
1948,2.9,0.4,5.8,11.8,15.2,17.6,18.2,18,15.4,9.2,5,1.8,1.8,10.9,17.9,9.9,10.13
1949,1.8,2.4,2.7,11.1,14.6,15.2,18.6,18.4,17.5,11,4.4,3.8,2,9.5,17.4,11,9.96
1950,-1.2,3.2,5.6,8.1,15.6,18.6,18.6,19.1,13.6,8.6,5,-0.8,1.9,9.8,18.8,9.1,9.88
1951,1.2,2.3,2,8.7,12.2,17.4,18.9,19.6,15.7,8.5,6.9,3.6,0.9,7.6,18.6,10.4,9.38
1952,0.8,1,1,11.9,12.8,16,18.7,19.3,11.8,7.4,1.7,-0.7,1.8,8.6,18,7,8.83
1953,0.3,0.6,6,10.4,14.7,18.5,19.6,18,14.7,11.6,5.4,1.9,0.1,10.4,18.7,10.6,9.93
